id,Article Link,Article Title
3,https://www.dailymail.co.uk/news/article-10470763/Manhattan-middle-school-CANCELS-Shakespeares-Merchant-Venice-play-amid-anti-Semitism-concerns.html,Manhattan public school principal CANCELS performance of Shakespeare's Merchant of Venice over anti-Semitic portrayal of money lender Shylock: Angry parents say she has missed a 'teachable moment'
5,https://www.dailymail.co.uk/news/article-10470807/Ottawas-police-chief-says-force-1-500-powerless-end-Canadian-capitals-truckers-blockade.html,GoFundMe FREEZES Canadian 'Freedom Convoy' page after it raised $8 million and police chief threatens to call in the army - while the truckers feed the homeless as they occupy Ottawa
10,https://www.dailymail.co.uk/news/article-10469911/Susan-Sarandon-SLAMMED-comparing-cops-gathered-slain-NYPD-officers-funeral-fascists.html,Susan Sarandon is slammed for calling crowds of cops gathered for slain NYPD officer's funeral FASCISTS and saying that procession was proof that 'cops aren't needed'
20,https://www.dailymail.co.uk/news/article-10470549/Husband-ex-NYPD-officer-tried-hire-hitman-killed-stage-death.html,'I thought I was marrying someone who swore to protect and serve - I got a crazed lunatic': Husband of ex-NYPD officer who tried to hire a hitman to have him killed fears she'll finish the job if freed from jail
21,https://www.dailymail.co.uk/femail/article-10468947/Woman-claims-catfished-female-BOSS-pretended-man-using-burner-phone-weeks.html,"Woman claims she was catfished by her FEMALE BOSS for WEEKS: Says employer used burner phone to masquerade as a male love interest, arranging and canceling multiple dates, and even sending her flowers "
22,https://www.dailymail.co.uk/news/article-10469767/Female-deputy-30-shot-dead-boyfriend-killed-vacation-Florida.html,"PICTURED: Female deputy, 30, shot dead by her detective boyfriend before he turned gun on himself while they vacationed in a Florida rental with other cops "
23,https://www.dailymail.co.uk/news/article-10469647/Four-people-arrested-supplying-drugs-actor-Michael-K-Williams-overdosed-NYC.html,Drug dealer who actor Michael K. Williams bought fentanyl-laced heroin from that killed him was a repeat offender released under NYC's bail reforms
24,https://www.dailymail.co.uk/news/article-10470027/AOC-tells-Schumer-make-Sinemas-life-difficult-possible.html,AOC tells Schumer to make Sinema's life 'as difficult as possible' after moderate who killed Build Back Better and Biden's voting rights plan complained Senate votes were too slow 
43,https://www.dailymail.co.uk/news/article-10469311/Brooklyn-judges-son-pleads-guilty-Capitol-riot-charges.html,"Son of New York City judge pleads guilty to taking part in Capitol riot where he wore a fur costume, referred to himself as 'caveman' and stole a police bullet proof vest "
49,https://www.dailymail.co.uk/tvshowbiz/article-10469515/Inside-Gwyneth-Paltrows-luxurious-home.html,"Inside Gwyneth Paltrow's VERY luxurious home: Goop guru gives a tour of lavish Montecito mansion that includes its own 'wellness spa' with $30,000 showerheads, hand-painted wallpaper and décor inspired by her time in London"
